address	available_bike_stands	available_bikes	banking	bike_stands	bonus	contract_name	last_update	lat	lng	name	number	status	idr
112 RUE VERCINGETORIX - 75014 PARIS	46	21	0	67	0	Paris	16/07/2013 00:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	135859
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	16/07/2013 00:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	137088
112 RUE VERCINGETORIX - 75014 PARIS	48	19	0	67	0	Paris	16/07/2013 00:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	138317
112 RUE VERCINGETORIX - 75014 PARIS	48	19	0	67	0	Paris	16/07/2013 00:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	139546
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 00:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	140775
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 00:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	142004
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 00:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	143233
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 00:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	144462
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 00:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	145691
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 00:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	146920
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	148149
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	149378
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	150607
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	151836
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	153065
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	154294
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	155523
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	156752
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	157981
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	159210
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	160439
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 01:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	161668
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	162897
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	164126
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	165355
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	166584
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	167813
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	169042
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	170271
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	171500
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	172729
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	173958
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	175187
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 02:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	176416
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	16/07/2013 03:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	177645
